date,location,BC_sat,CO_sat,NO2_sat,SO2_sat
2018-01-03,Miami,,,,
2018-01-03,Moradabad,,,,
2018-01-03,Mumbai,,,6541920000000000.0,1.41110468
2018-01-03,Mysuru,,,3900030000000000.0,-0.315030128
2018-01-03,Nashik,,114.494469,4651400000000000.0,0.128404275
2018-01-03,NewDelhi,,,1.8e+16,-0.109999999
2018-01-03,Patna,,122.119673,,
2018-01-03,Pondicherry,,111.351255,4552200000000000.0,0.006666663
2018-01-03,Prayagraj,,142.026693,,
2018-01-03,Pune,,,4094030000000000.0,0.221006304
2018-01-03,Shillong,,,,
2018-01-03,Solapur,,,3865910000000000.0,0.175611719
2018-01-03,Srinagar,,,4273800000000000.0,0.099747479
2018-01-03,Thiruvananthapuram,,111.700501,3036860000000000.0,
2018-01-03,Varanasi,,131.782144,,
2018-01-03,Vijaywada,,122.236088,,
2018-01-03,Visakhapatnam,,131.499662,,
2018-01-04,Agartala,,115.483999,3911200000000000.0,0.02
2018-01-04,Agra,,,,
2018-01-04,Aizwal,,115.891453,2691520000000000.0,
2018-01-04,Amritsar,,,,
2018-01-04,Asansol,,107.74238,6156990000000000.0,-0.209999993
2018-01-04,Aurangabad,,,,
2018-01-04,Bareilly,,,5661570000000000.0,
2018-01-04,Belgaum,,,,
2018-01-04,Bengaluru,,,,
2018-01-04,Bhopal,,,,
2018-01-04,Chandigarh,,,,
2018-01-04,Chennai,,113.446731,,
2018-01-04,Coimbatore,,,,
2018-01-04,Dehradun,,,3091400000000000.0,0.306958526
2018-01-04,DurgBhilai,,,5356750000000000.0,-0.409999996
2018-01-04,Faridabad,,,,
2018-01-04,Gandhinagar,,113.2139,,
2018-01-04,Gangtok,,,3967220000000000.0,0.129999995
2018-01-04,Ghaziabad,,,,
2018-01-04,Gorakhpur,,,,
2018-01-04,Gwalior,,,,-1.06017029
2018-01-04,Hyderabad,,,,
2018-01-04,Imphal,,121.304765,,
2018-01-04,Indore,,,,
2018-01-04,Jabalpur,,,3858280000000000.0,0.031059917
2018-01-04,Jaipur,,,,
2018-01-04,Jalandhar,,,,
2018-01-04,Jodhpur,,,,
2018-01-04,Kanpur,,,5429610000000000.0,0.689999998
2018-01-04,Kochi,,114.087015,,
2018-01-04,Kohima,,,,
2018-01-04,Kolkata,,109.430403,8352500000000000.0,-0.180000007
2018-01-04,Kota,,,,
2018-01-04,Kozhikode,,119.558536,,
2018-01-04,Lucknow,,,,
2018-01-04,Ludhiana,,,,
2018-01-04,Mangaluru,,124.564394,,
2018-01-04,Meerut,,,,
2018-01-04,Miami,,122.701749,,
2018-01-04,Moradabad,,,4733560000000000.0,
2018-01-04,Mumbai,,128.638931,,
2018-01-04,Mysuru,,,,
2018-01-04,Nashik,,122.93458,,
2018-01-04,NewDelhi,,,,
2018-01-04,Patna,,127.824023,4930880000000000.0,
2018-01-04,Pondicherry,,107.975211,,
2018-01-04,Prayagraj,,,5388180000000000.0,
2018-01-04,Pune,,146.683306,,
2018-01-04,Shillong,,111.584086,5498990000000000.0,0.02
2018-01-04,Solapur,,,,
2018-01-04,Srinagar,,,,
2018-01-04,Thiruvananthapuram,,110.885594,,
2018-01-04,Varanasi,,,5891190000000000.0,
2018-01-04,Vijaywada,,109.372195,3373510000000000.0,1.08000004
2018-01-04,Visakhapatnam,,,4282140000000000.0,-0.13305974
2018-01-05,Agartala,,118.045136,,
2018-01-05,Agra,,,6653060000000000.0,-0.041094922
2018-01-05,Aizwal,,,,-0.154957116
2018-01-05,Amritsar,,,7551870000000000.0,-0.429729134
2018-01-05,Asansol,,,,
2018-01-05,Aurangabad,,,3344350000000000.0,0.030130822
2018-01-05,Bareilly,,,5058200000000000.0,0.01
2018-01-05,Belgaum,,,3450540000000000.0,
2018-01-05,Bengaluru,,,4797080000000000.0,-0.439909339
2018-01-05,Bhopal,,,4793900000000000.0,0.003244259
2018-01-05,Chandigarh,,,4601260000000000.0,0.600000024
2018-01-05,Chennai,,127.940439,7697430000000000.0,0.309828728
2018-01-05,Coimbatore,,,4995740000000000.0,
2018-01-05,Dehradun,,,3927090000000000.0,0.159306958
2018-01-05,DurgBhilai,,,1.19e+16,0.920000017
2018-01-05,Faridabad,,,1.12e+16,0.096838377
2018-01-05,Gandhinagar,,,6145910000000000.0,-0.53779757
2018-01-05,Gangtok,,,,
2018-01-05,Ghaziabad,,,1.89e+16,-0.19722788
2018-01-05,Gorakhpur,,,,
2018-01-05,Gwalior,,,6749230000000000.0,0.164805815
2018-01-05,Hyderabad,,,7137840000000000.0,0.5
2018-01-05,Imphal,,,2808730000000000.0,0.144999996
2018-01-05,Indore,,,4482380000000000.0,0.075870857
2018-01-05,Jabalpur,,,4494960000000000.0,-0.288425535
2018-01-05,Jaipur,,,6585480000000000.0,-0.11808826
2018-01-05,Jalandhar,,,7186460000000000.0,-0.720000029
2018-01-05,Jodhpur,,,3899440000000000.0,-0.019447101
2018-01-05,Kanpur,,140.687916,8579690000000000.0,0.155832142
2018-01-05,Kochi,,,3357600000000000.0,
2018-01-05,Kohima,,,3363700000000000.0,-0.13986446
2018-01-05,Kolkata,,114.552677,,
2018-01-05,Kota,,,9454920000000000.0,0.277310342
2018-01-05,Kozhikode,,,2984490000000000.0,
2018-01-05,Lucknow,,148.196705,,
2018-01-05,Ludhiana,,,,
2018-01-05,Mangaluru,,,3078200000000000.0,
2018-01-05,Meerut,,,9751100000000000.0,-0.075072564
2018-01-05,Miami,,138.068572,,
2018-01-05,Moradabad,,,7007650000000000.0,0.260447443
2018-01-05,Mumbai,,,4420380000000000.0,
2018-01-05,Mysuru,,,3393570000000000.0,
2018-01-05,Nashik,,,4343370000000000.0,0.352623105
2018-01-05,NewDelhi,,,2.01e+16,-0.209999993
2018-01-05,Patna,,126.310624,,
2018-01-05,Pondicherry,,120.722689,2091850000000000.0,
2018-01-05,Prayagraj,,134.343281,,
2018-01-05,Pune,,,4516320000000000.0,
2018-01-05,Shillong,,115.600415,,0.119999997
2018-01-05,Solapur,,,3949820000000000.0,-0.151480794
2018-01-05,Srinagar,,,2584910000000000.0,0.004948009
2018-01-05,Thiruvananthapuram,,,3495380000000000.0,0.157492891
2018-01-05,Varanasi,,142.8416,,
2018-01-05,Vijaywada,,110.24531,7437420000000000.0,-0.170000002
2018-01-05,Visakhapatnam,,122.080574,1.31e+16,0.192865133
2018-01-06,Agartala,,118.161552,5916920000000000.0,-0.529999971
2018-01-06,Agra,,,,
2018-01-06,Aizwal,,,2523630000000000.0,0.287648112
2018-01-06,Amritsar,,,,
2018-01-06,Asansol,,,1.14e+16,-0.589999974
2018-01-06,Aurangabad,,,,
2018-01-06,Bareilly,,,,
2018-01-06,Belgaum,,,,
2018-01-06,Bengaluru,,,,
2018-01-06,Bhopal,,,,
2018-01-06,Chandigarh,,,,
2018-01-06,Chennai,,112.864655,,
2018-01-06,Coimbatore,,,,
2018-01-06,Dehradun,,,,
2018-01-06,DurgBhilai,,,,
2018-01-06,Faridabad,,,,
2018-01-06,Gandhinagar,,114.494469,,
2018-01-06,Gangtok,,,4356380000000000.0,-0.449999988
2018-01-06,Ghaziabad,,,,
2018-01-06,Gorakhpur,,,,
2018-01-06,Gwalior,,,,
2018-01-06,Hyderabad,,,,
2018-01-06,Imphal,,,2091840000000000.0,0.054999996
2018-01-06,Indore,,,,
2018-01-06,Jabalpur,,,,
2018-01-06,Jaipur,,,,
2018-01-06,Jalandhar,,,,
2018-01-06,Jodhpur,,,,
2018-01-06,Kanpur,,98.6037776,,
2018-01-06,Kochi,,124.797225,,
2018-01-06,Kohima,,,3266550000000000.0,0.357161134
2018-01-06,Kolkata,,,1.3e+16,1.20000005
2018-01-06,Kota,,,,
2018-01-06,Kozhikode,,129.104592,,
2018-01-06,Lucknow,,98.6037776,,0.560000002
2018-01-06,Ludhiana,,,,
2018-01-06,Mangaluru,,126.776285,,
2018-01-06,Meerut,,,,
2018-01-06,Miami,,117.46306,,
2018-01-06,Moradabad,,,,
2018-01-06,Mumbai,,125.612132,,
2018-01-06,Mysuru,,,,
2018-01-06,Nashik,,116.240699,,
2018-01-06,NewDelhi,,,,
2018-01-06,Patna,,,5154980000000000.0,
2018-01-06,Pondicherry,,115.425792,,
2018-01-06,Prayagraj,,99.9425538,5827170000000000.0,-0.165542811
2018-01-06,Pune,,144.471414,,
2018-01-06,Shillong,,127.241947,3060640000000000.0,0.449999988
2018-01-06,Solapur,,,,
2018-01-06,Srinagar,,,,
2018-01-06,Thiruvananthapuram,,120.373443,,
2018-01-06,Varanasi,,,5316100000000000.0,-0.039999999
2018-01-06,Vijaywada,,114.494469,,
2018-01-06,Visakhapatnam,,112.806447,3079040000000000.0,0.252112418
2018-01-07,Agartala,,111.642294,,
2018-01-07,Agra,,,5377860000000000.0,-0.350077838
2018-01-07,Aizwal,,113.272108,,
2018-01-07,Amritsar,,,8947500000000000.0,0.082498796
2018-01-07,Asansol,,121.537596,,
2018-01-07,Aurangabad,,,3495250000000000.0,
2018-01-07,Bareilly,,,6338700000000000.0,0.049944598
2018-01-07,Belgaum,,,3893650000000000.0,-0.085562162
2018-01-07,Bengaluru,,,3491750000000000.0,
2018-01-07,Bhopal,,,3524520000000000.0,0.009296008
2018-01-07,Chandigarh,,,1.02e+16,1.08000004
2018-01-07,Chennai,,104.831997,5482350000000000.0,-0.025224142
2018-01-07,Coimbatore,,,3824950000000000.0,
2018-01-07,Dehradun,,,6439660000000000.0,-0.301796556
2018-01-07,DurgBhilai,,,1.12e+16,0.300000012
2018-01-07,Faridabad,,,9386020000000000.0,0.168640956
2018-01-07,Gandhinagar,,,6943100000000000.0,0.141821325
2018-01-07,Gangtok,,,,
2018-01-07,Ghaziabad,,,9168280000000000.0,-0.197826162
2018-01-07,Gorakhpur,,,,
2018-01-07,Gwalior,,,4147280000000000.0,-0.063780084
2018-01-07,Hyderabad,,,5071570000000000.0,-0.150000006
2018-01-07,Imphal,,,,
2018-01-07,Indore,,,3405260000000000.0,-0.475831956
2018-01-07,Jabalpur,,,3415780000000000.0,-0.152924612
2018-01-07,Jaipur,,,7327490000000000.0,-0.267187208
2018-01-07,Jalandhar,,,8300170000000000.0,-0.088920452
2018-01-07,Jodhpur,,,5698050000000000.0,-0.362589777
2018-01-07,Kanpur,,120.489858,6957470000000000.0,0.112981886
2018-01-07,Kochi,,,3738190000000000.0,
2018-01-07,Kohima,,,,
