,date,NO2_govt,SO2_govt,PM2.5_govt,CO_sat,NO2_sat,SO2_sat,index
1043,2020-11-09,14.765,5.405,29.713333333333335,115.01833800000001,5.706024543999069,0.03341560823228331,7306
1044,2020-11-10,17.62333333333333,5.181666666666667,49.09833333333333,121.14079592131802,6.000477466666667,0.2419493895,7309
1045,2020-11-11,18.843333333333334,5.22,53.943333333333335,117.07500900000001,6.171267422710726,0.03959866138537415,7320
1046,2020-11-12,18.161666666666665,5.203333333333333,61.028333333333336,124.61578651291333,6.7639016000000005,-0.253327936,7322
1047,2020-11-13,16.728333333333335,5.111666666666667,55.835,129.5120455,7.206105800000001,0.556348741,7334
1048,2020-11-14,12.343333333333334,5.161666666666667,33.46333333333333,128.60012566666668,5.937053397010196,0.3075007945,7337
1049,2020-11-15,10.258333333333335,5.116666666666666,25.375,136.59397766666666,5.4466514,-0.070035242,7345
1050,2020-11-16,10.52,4.998333333333334,19.919999999999998,129.221007,5.704365074002952,0.03790486771364009,7355
1051,2020-11-17,11.958333333333334,5.723333333333334,13.248333333333335,112.85707948274953,6.0451588,0.029009056050228098,7357
1052,2020-11-18,12.038333333333334,5.2749999999999995,15.391666666666666,132.63585666666668,5.690968037194949,0.039175260172417604,7367
1053,2020-11-19,13.923333333333332,4.861666666666667,26.523333333333337,113.50577575206064,4.805800133333334,0.031369984752954584,7371
1054,2020-11-20,11.685,4.45,19.49833333333333,111.46767066666666,5.846706,-0.05994793,7383
1055,2020-11-21,12.923333333333332,5.035,23.831666666666667,115.26641437861423,6.080245866666668,0.152752382,7388
1056,2020-11-22,12.466666666666669,5.3933333333333335,33.60333333333333,111.39006066666667,5.3301572,0.05824196166666667,7397
1057,2020-11-23,20.59,4.83,36.045,110.96320423333333,5.800784927318523,0.03263724657405729,7400
1058,2020-11-24,22.427500000000002,4.3275,39.925,113.34971833333333,6.826947400000001,0.2074707115,7406
